,c,y,Circumstances,OLS,Ctree,Trafo
201,CHL,2015,Mother_Edu,36.48435627,37.13671987,27.28414406
202,CHL,2015,Father_Edu,37.5896292,37.86650662,28.9197177
203,CHL,2011,Mother_Edu,38.11643509,38.46630429,29.04857394
204,CHL,2013,Mother_Edu,37.01967859,37.43908719,29.19535576
205,CHL,2009,Father_Edu,31.73763726,33.26540611,29.36649829
206,CHL,2011,Father_Edu,39.17587574,39.44885316,29.54003004
207,CHL,2006,Mother_Edu,36.26286548,36.93568408,30.07289651
208,CHL,2013,Father_Edu,37.63674011,37.85191644,30.23403382
209,CHL,2006,Father_Edu,37.56856189,39.03364135,35.45688248
210,CIV,2018,Sex,1.916344862,2.913243961,3.214784099
211,CIV,2018,Mother_Occ,14.69912162,14.45276139,11.45352949
212,CIV,2018,Mother_Edu,14.23543266,13.53751564,15.78597319
213,CIV,2018,Ethnicity,21.89256658,22.35603217,17.97350214
214,CIV,2018,Father_Edu,24.68723247,24.13705094,25.74349133
215,CIV,2018,Father_Occ,22.56930182,22.60339589,25.82871974
216,COL,2010,Sex,2.577591252,3.325387147,5.041726076
217,COL,2010,Ethnicity,4.076651278,3.387582645,10.16407696
218,COL,2010,Birth_Area,27.32873791,26.55540543,15.43782739
219,COL,2010,Father_Edu,28.22817392,29.44749605,32.01607632
220,COL,2010,Mother_Edu,37.78884564,37.28412873,37.34029325
221,CY,2005,Sex,1.582941478,3.266983053,6.090768808
222,CY,2019,Sex,0.518346277,1.70298817,6.169089989
223,CY,2005,Birth_Area,9.041645282,8.703233572,9.947600943
224,CY,2011,Sex,1.032414105,2.245186755,12.24942295
225,CY,2011,Mother_Edu,19.29059717,18.00145153,15.07155088
226,CY,2019,Birth_Area,12.03545025,13.28180491,15.57182738
227,CY,2011,Father_Edu,18.5252841,18.52375865,16.38036383
228,CY,2011,Mother_Occ,14.72995606,15.97025717,16.40763077
229,CY,2011,Father_Occ,26.49078741,25.29924267,17.23927233
230,CY,2019,Mother_Edu,20.93226073,19.75558423,17.37509209
231,CY,2019,Father_Occ,23.64395982,23.1589425,19.19675745
232,CY,2005,Father_Occ,23.54965577,22.1590768,20.07040391
233,CY,2019,Mother_Occ,22.83146571,22.56705411,20.76081357
234,CY,2005,Mother_Edu,23.65200505,22.55219409,20.85503165
235,CY,2019,Father_Edu,20.03851721,19.53362608,20.92641952
236,CY,2005,Father_Edu,22.46219467,23.0576306,21.24181997
237,CY,2005,Mother_Occ,19.71155776,20.26088189,21.79437472
238,CY,2011,Birth_Area,19.93096116,19.96010323,22.65175924
239,CZ,2019,Birth_Area,0.940319954,0.300373091,0.442115678
240,CZ,2011,Birth_Area,1.75395889,0.634297962,0.923360282
241,CZ,2005,Birth_Area,2.364363543,1.547585318,2.506630119
242,CZ,2011,Sex,3.398325908,4.071051645,7.593550619
243,CZ,2005,Sex,6.620007996,6.850984008,8.707863923
244,CZ,2019,Sex,7.21874592,7.678019971,9.407270992
245,CZ,2005,Mother_Edu,11.79353655,12.37413679,12.45513355
246,CZ,2005,Father_Edu,16.85024349,17.29662839,19.05430749
247,CZ,2011,Father_Edu,20.01210301,19.75451135,19.91890233
248,CZ,2019,Father_Occ,21.26949985,21.35321158,20.45503982
249,CZ,2011,Mother_Edu,21.10834769,19.7719568,21.09965031
250,CZ,2019,Mother_Edu,21.30987558,20.07173446,21.30791964
251,CZ,2011,Father_Occ,22.563707,22.91213783,21.34822883
252,CZ,2019,Father_Edu,24.0554252,23.5317227,23.80705585
253,CZ,2019,Mother_Occ,25.20613349,27.0649382,24.58059802
254,CZ,2005,Father_Occ,27.04710137,27.25881377,25.80270898
255,CZ,2011,Mother_Occ,31.1635575,32.85604442,29.11630764
256,CZ,2005,Mother_Occ,35.32474705,34.67185172,31.47335594
257,DE,2019,Sex,1.705112114,4.310883522,6.372984096
258,DE,2005,Birth_Area,5.52561656,5.844268041,6.69503303
259,DE,2005,Sex,5.880208503,7.664153979,7.647098553
260,DE,2011,Sex,4.879173255,6.704796774,8.425232185
261,DE,2011,Mother_Edu,14.37608389,13.12702353,12.55693801
262,DE,2019,Birth_Area,5.511585357,7.28311851,12.91086357
263,DE,2005,Mother_Occ,15.00809145,15.69749664,13.99086146
264,DE,2011,Birth_Area,5.290963418,6.641210371,15.743626
265,DE,2019,Mother_Edu,18.23507462,16.33987643,16.02331151
266,DE,2019,Mother_Occ,18.9752222,19.23430422,16.21457926
267,DE,2011,Father_Edu,20.21835682,18.91338626,18.35890788
268,DE,2005,Father_Occ,24.55919703,23.7308393,18.76121082
269,DE,2019,Father_Edu,21.31902285,19.88788469,19.1705354
270,DE,2011,Mother_Occ,19.24035518,20.63021916,19.34788002
271,DE,2005,Mother_Edu,19.08017957,18.55116394,21.05618982
272,DE,2011,Father_Occ,35.99506744,33.98336391,25.56741591
273,DE,2019,Father_Occ,34.25398285,32.94393262,29.30772617
274,DE,2005,Father_Edu,29.94670689,28.5120781,31.84960632
275,DK,2005,Birth_Area,0.75439893,0,2.775400484
276,DK,2019,Sex,2.414832609,4.910306763,3.769126661
277,DK,2019,Birth_Area,8.683835565,6.574610726,5.653988829
278,DK,2005,Sex,2.467736503,3.017506617,6.164012073
279,DK,2011,Sex,4.330642145,7.79071959,10.61271966
280,DK,2011,Father_Occ,23.26441749,22.71469572,15.58277222
281,DK,2011,Mother_Occ,25.0339292,27.73063791,15.74139092
282,DK,2019,Mother_Edu,16.4862637,13.69216597,15.94660696
283,DK,2005,Mother_Occ,14.75454407,16.15736965,16.14612693
284,DK,2005,Father_Occ,13.92154017,13.4349456,16.54418673
285,DK,2011,Mother_Edu,23.44136866,21.24913237,17.38045081
286,DK,2019,Father_Edu,15.53914815,17.83522051,17.725578
287,DK,2011,Birth_Area,12.01537873,5.871038013,19.5482397
288,DK,2011,Father_Edu,11.91426378,14.6437764,21.13442669
289,DK,2005,Father_Edu,35.74056285,34.97357943,26.92436139
290,DK,2019,Father_Occ,28.82131628,27.23676736,27.17106707
291,DK,2019,Mother_Occ,28.05460369,29.75092867,29.73363249
292,DK,2005,Mother_Edu,32.36121747,32.77897229,31.44591239
293,ECU,2014,Birth_Area,1.880121347,1.88709033,2.873574217
294,ECU,2006,Sex,0.732949923,1.255677443,3.081909815
295,ECU,2014,Sex,1.886929057,2.344977162,3.084116854
296,ECU,2006,Ethnicity,4.215468741,4.326445656,6.743542765
297,ECU,2006,Birth_Area,7.692662606,8.009257018,7.716531239
298,ECU,2014,Ethnicity,7.516905344,7.166664256,7.888317022
299,ECU,2006,Mother_Occ,11.4680538,11.72900202,17.09858434
300,ECU,2006,Father_Occ,17.99644535,17.80722364,17.48871982
301,ECU,2014,Mother_Occ,13.54172882,13.812961,17.5796584
302,ECU,2014,Father_Occ,19.68909108,19.84874196,18.74083294
303,ECU,2006,Mother_Edu,28.21502885,27.83206832,23.9001028
304,ECU,2006,Father_Edu,29.67939074,29.04032591,23.97060921
305,ECU,2014,Mother_Edu,27.67453508,27.52875292,24.82104909
306,ECU,2014,Father_Edu,27.81068928,27.41081237,25.01245148
307,EE,2019,Sex,0.610053417,2.425094214,2.950052707
308,EE,2011,Sex,0.235726104,3.996653754,3.462415681
309,EE,2019,Birth_Area,2.014243929,2.645762202,4.326813216
310,EE,2005,Sex,4.177720131,5.308859464,5.578891375
311,EE,2005,Birth_Area,3.7528228,4.639966224,7.130859922
312,EE,2011,Birth_Area,7.828424495,9.407238667,8.17090828
313,EE,2011,Mother_Edu,20.2838623,18.74661514,17.89496908
314,EE,2019,Mother_Edu,20.79783586,20.7914606,19.06324977
315,EE,2005,Father_Occ,22.34208101,20.81380475,19.77060376
316,EE,2011,Father_Edu,21.37584589,20.09246415,21.18750195
317,EE,2019,Father_Edu,22.10027343,20.60474153,21.23887132
318,EE,2005,Mother_Occ,23.13117605,23.90409152,21.7225642
319,EE,2005,Mother_Edu,24.17824447,23.7970686,21.75456355
320,EE,2011,Mother_Occ,25.06129051,24.71457186,22.58640193
321,EE,2019,Father_Occ,25.27496502,24.1524038,24.00938938
322,EE,2005,Father_Edu,22.41795553,21.53620945,24.04251719
323,EE,2011,Father_Occ,25.2148507,23.04245643,26.69780307
324,EE,2019,Mother_Occ,29.20262834,29.38053766,28.4116236
325,EL,2011,Sex,2.292599934,3.027146422,3.156203707
326,EL,2005,Sex,1.43726438,2.366555546,3.191868351
327,EL,2019,Sex,1.271705627,2.243489067,3.957309724
328,EL,2019,Birth_Area,10.41420054,10.01386096,10.91052505
329,EL,2005,Birth_Area,7.675659742,7.519748743,11.50683265
330,EL,2011,Birth_Area,14.04693268,13.27959517,14.41663519
331,EL,2011,Mother_Occ,18.07994421,17.13424219,17.76599711
332,EL,2005,Mother_Edu,22.08185109,21.76130085,19.57120899
333,EL,2005,Mother_Occ,21.49016824,21.23426973,20.10655601
334,EL,2019,Father_Occ,27.58764083,27.7239979,20.84368979
335,EL,2011,Father_Occ,27.05368212,27.37528666,21.0948108
336,EL,2019,Mother_Occ,18.00052611,18.52051174,21.20026493
337,EL,2011,Mother_Edu,17.68928213,18.41152168,21.27974489
338,EL,2019,Mother_Edu,17.66706125,17.24517151,21.35308285
339,EL,2019,Father_Edu,25.05886565,24.25296883,21.73512765
340,EL,2005,Father_Edu,22.08185109,22.17121394,21.8492814
341,EL,2011,Father_Edu,20.83755893,20.77220788,22.28660829
342,EL,2005,Father_Occ,25.23320545,24.94691119,23.77425259
343,ES,2019,Sex,1.065507697,1.909500369,2.995147426
344,ES,2011,Sex,1.115812848,1.357584434,3.422747606
345,ES,2005,Birth_Area,5.655075734,4.671271516,4.688557987
346,ES,2005,Sex,3.124185882,4.096805614,6.386347945
347,ES,2011,Mother_Occ,11.27521499,11.52622703,12.7747143
348,ES,2011,Mother_Edu,15.40743872,14.53416987,15.51600249
349,ES,2019,Mother_Edu,15.61953803,15.44275485,17.4159243
350,ES,2005,Mother_Occ,16.31145406,17.14538825,17.50887743
351,ES,2019,Birth_Area,18.53880574,17.81032197,17.882994
352,ES,2019,Mother_Occ,18.71861571,18.58279091,18.93390082
353,ES,2011,Father_Edu,19.80862377,18.9226238,19.37411179
354,ES,2019,Father_Edu,18.84554039,18.60285504,19.8096565
355,ES,2005,Mother_Edu,21.24002903,20.33230623,20.59698358
356,ES,2011,Birth_Area,19.86975134,21.24592294,21.1226701
357,ES,2019,Father_Occ,27.21199242,27.65177686,22.96237695
358,ES,2005,Father_Edu,24.88095829,24.80493362,24.40698466
359,ES,2005,Father_Occ,28.78829701,28.94929477,26.41224839
360,ES,2011,Father_Occ,32.52315834,32.41347193,27.78975371
361,FI,2005,Birth_Area,3.114917659,0.520883451,6.879675566
362,FI,2019,Sex,0.925666347,2.016861887,7.546699408
363,FI,2019,Birth_Area,4.305735918,3.811287736,7.946322387
364,FI,2011,Sex,1.770448097,3.823692467,11.7135022
365,FI,2005,Sex,6.572836604,7.247092872,13.86282597
366,FI,2011,Birth_Area,7.718500346,7.164954047,14.22252874
367,FI,2011,Mother_Edu,12.77956235,12.28126084,16.12592819
368,FI,2005,Mother_Edu,24.12589182,26.43191289,17.46020649
369,FI,2011,Father_Edu,20.71029868,19.35533809,17.48858915
370,FI,2005,Mother_Occ,26.77696301,26.84960042,18.26697197
371,FI,2019,Father_Occ,26.28435255,27.08274796,19.90646724
372,FI,2011,Father_Occ,25.14524992,26.01175765,20.06250431
373,FI,2011,Mother_Occ,31.87594062,31.3629969,20.3869474
374,FI,2019,Father_Edu,23.01858485,21.37703452,21.07679168
375,FI,2019,Mother_Edu,22.80630994,21.32095871,21.33369217
376,FI,2005,Father_Occ,21.57361831,20.5266755,21.67919319
377,FI,2005,Father_Edu,17.8357726,18.42383487,21.85112682
378,FI,2019,Mother_Occ,22.6593504,24.39110919,22.19002712
379,FR,2005,Sex,3.051526529,3.972727131,3.722129964
380,FR,2005,Birth_Area,6.641983555,5.984335036,6.365631355
381,FR,2011,Sex,3.0477364,3.944994943,8.269770329
382,FR,2019,Sex,1.414254466,3.463239109,9.737034535
383,FR,2011,Birth_Area,8.850167957,8.842275651,11.91449996
384,FR,2019,Father_Occ,28.79685163,30.16404808,13.04083505
385,FR,2019,Father_Edu,25.27604219,24.24822665,13.30323076
386,FR,2011,Mother_Edu,17.88150082,16.46964963,16.07790265
387,FR,2019,Birth_Area,12.06968529,10.81208562,16.46390635
388,FR,2011,Mother_Occ,19.1283043,20.38184513,18.83948625
389,FR,2005,Mother_Edu,21.49630798,20.17657563,20.83305473
390,FR,2005,Father_Edu,21.89348243,22.09107143,21.27842725
391,FR,2011,Father_Edu,20.02344525,19.354542,21.46088795
392,FR,2005,Father_Occ,24.38773797,23.40902144,22.37030825
393,FR,2019,Mother_Occ,14.26188739,13.17596458,22.53478888
394,FR,2011,Father_Occ,31.06884527,31.00669265,23.43745286
395,FR,2019,Mother_Edu,18.18127903,18.13643597,24.92020442
396,FR,2005,Mother_Occ,22.52896155,24.36626934,25.43044845
397,GAM,2015,Mother_Edu,4.510979557,1.321369006,0.375427644
398,GAM,2015,Father_Edu,6.214141141,4.146132756,2.004912776
399,GAM,2015,Sex,3.703351322,4.757947946,4.572378845
400,GAM,2015,Father_Occ,12.50485086,10.05600714,9.994867183
401,GAM,2015,Mother_Occ,19.10322848,18.89478404,14.39721567
402,GAM,2015,Ethnicity,25.4653611,25.6312598,23.83179765
403,GAM,2015,Birth_Area,28.49808754,35.19249931,44.82340023
404,GEO,2016,Sex,2.049238057,4.904808493,7.269306971
405,GEO,2016,Ethnicity,1.725641743,0,8.390490619
406,GEO,2016,Birth_Area,11.73881069,10.86485766,13.60399459
407,GEO,2016,Mother_Occ,17.57575551,14.22928778,17.0656491
408,GEO,2016,Father_Occ,21.47112245,20.19639027,17.75938148
